corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc-coref,11g3h.0,203,216,_Stage,_Stage,Dichter,ADJA,dichter,25875,,
gdc-coref,11g3h.0,203,216,_Stage,_Stage,Wald,NN,wald,25875,,
gdc-coref,11g3h.0,203,216,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,235,249,_Stage,_Stage,König,NN,könig,25875,,(0)
gdc-coref,11g3h.0,235,249,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,235,249,_Stage,_Stage,Herzog,NN,herzog,25875,,(1)
gdc-coref,11g3h.0,235,249,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,6717,6741,König,koenig,Er,PPER,er,25875,,(0)
gdc-coref,11g3h.0,6717,6741,König,koenig,winkt,VVFIN,winken,25875,,
gdc-coref,11g3h.0,6717,6741,König,koenig,nach,APPR,nach,25875,,
gdc-coref,11g3h.0,6717,6741,König,koenig,der,ART,der,25875,,
gdc-coref,11g3h.0,6717,6741,König,koenig,Szene,NN,szene,25875,,
gdc-coref,11g3h.0,6717,6741,König,koenig,.,$.,--,25875,,
gdc-coref,11g3h.0,6765,6783,_Stage,_Stage,Die,ART,der,25875,,(16
gdc-coref,11g3h.0,6765,6783,_Stage,_Stage,Vorigen,NN,vorige,25875,,16)
gdc-coref,11g3h.0,6765,6783,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,6765,6783,_Stage,_Stage,Graf,NN,graf,25875,,(2)
gdc-coref,11g3h.0,6765,6783,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,7160,7172,_Stage,_Stage,König,NN,könig,25875,,(0)
gdc-coref,11g3h.0,7160,7172,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,7160,7172,_Stage,_Stage,Graf,NN,graf,25875,,(2)
gdc-coref,11g3h.0,7160,7172,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,Die,ART,der,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,Vorigen,NN,vorige,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,Eugenie,NN,eugenie,25875,,(3)
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,",","$,",--,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,auf,APPR,auf,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,zusammengeflochtenen,ADJA,zusammengeflochten,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,Ästen,NN,ast,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,für,APPR,für,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,tot,ADJD,tot,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,hereingetragen,VVIZU,hereintragen,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,Herzog,NN,herzog,25875,,(1)
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,Wundarzt,VVPP,wundarzt,25875,,(87)
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,Gefolge,NN,gefolge,25875,,
gdc-coref,11g3h.0,8978,9081,_Stage,_Stage,.,$.,--,25875,,
gdc-coref,11g3h.0,9090,9103,Herzog,herzog,zum,APPRART,zu,25875,,(87
gdc-coref,11g3h.0,9090,9103,Herzog,herzog,Wundarzt,NN,wundarzt,25875,,87)
gdc-coref,11g3h.0,9090,9103,Herzog,herzog,.,$.,--,25875,,
gdc-coref,11g3h.0,9982,10006,König,koenig,ein,ART,ein,25875,,
gdc-coref,11g3h.0,9982,10006,König,koenig,wenig,ADV,wenig,25875,,
gdc-coref,11g3h.0,9982,10006,König,koenig,zurücktretend,ADJD,zurücktretend,25875,,
gdc-coref,11g3h.0,9982,10006,König,koenig,.,$.,--,25875,,
gdc-coref,11g3h.0,10419,10490,Eugenie,eugenie,die,ART,der,25875,,(3)
