corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,ndtw.0,dem-hohen-Meer,35,
gdc,ndtw.0,des-einfæltigen-Battus,29,
gdc,ndtw.0,beyden-Hænden,28,
gdc,ndtw.0,die-Zeisig,40,
gdc,ndtw.0,lamon+chloe+wir-Leuthe,74,"1,0,14"
gdc,ndtw.0,unsrer-Liebe,23,
gdc,ndtw.0,das-Lied,54,
gdc,ndtw.0,die-Gœtter,17,
gdc,ndtw.0,deinen-Busen,45,
gdc,ndtw.0,lamon+evander,68,"1,2"
gdc,ndtw.0,die-Erstlinge,15,
gdc,ndtw.0,eine,33,
gdc,ndtw.0,man,18,
gdc,ndtw.0,wir-Leuthe,14,
gdc,ndtw.0,Seine-Lieder,21,
gdc,ndtw.0,Der-Fryhling,56,
gdc,ndtw.0,den-Fluren,61,
gdc,ndtw.0,Freude,58,
gdc,ndtw.0,Ein-guter-Blik-von-dir,30,
gdc,ndtw.0,die-syssen-Geryche,44,
gdc,ndtw.0,im-Flœten,32,
gdc,ndtw.0,was,49,
gdc,ndtw.0,alcimna+evander,69,"3,2"
gdc,ndtw.0,Jedes-Mædchen,47,
gdc,ndtw.0,die-wunderbaren-Schiksale,52,
gdc,ndtw.0,"jene-weisse-Kuh,-die-dort-im-Sumpf-wattet",48,
gdc,ndtw.0,mein-Gebett,51,
gdc,ndtw.0,Die-Blythen,55,
gdc,ndtw.0,Leute,19,
gdc,ndtw.0,die-Sonne,34,
gdc,ndtw.0,fynf-grosse-Schiffe,38,
gdc,ndtw.0,"Asphalion,-den-Fischer",37,
gdc,ndtw.0,Beym-heilg'en-Hain,60,
gdc,ndtw.0,unserm,39,
gdc,ndtw.0,evander+milon+alcimna,72,"2,4,3"
gdc,ndtw.0,fynf-jungen-Bæumen,16,
gdc,ndtw.0,unsre-Stunden,46,
gdc,ndtw.0,der-Trift,59,
gdc,ndtw.0,im-ganzen-Land,24,
gdc,ndtw.0,ihren-Jungen,41,
gdc,ndtw.0,die-andern-Mædchens,22,
gdc,ndtw.0,diesen-Baum-von-so-glatter-Rinde,25,
gdc,ndtw.0,ihren-Namen,27,
gdc,ndtw.0,ein-Unglyk,53,
gdc,ndtw.0,ein-Lied,31,
gdc,ndtw.0,milon+alcimna,71,"4,3"
gdc,ndtw.0,Die-kleine-Biene,63,
gdc,ndtw.0,Munterkeit,57,
gdc,ndtw.0,am-Ufer,36,
gdc,ndtw.0,alcimna+unserm+milon,73,"3,39,4"
gdc,ndtw.0,fynf-jungen-Bæumen+die-Erstlinge,75,"16,15"
gdc,ndtw.0,so-glatter-Rinde,26,
gdc,ndtw.0,der-œde-Winter,62,
gdc,ndtw.0,ein-muthwilliger-Knab,42,
gdc,ndtw.0,diese-Rosen,43,
gdc,ndtw.0,dies-Gewimmel,64,
gdc,ndtw.0,lamon+chloe,66,"1,0"
gdc,ndtw.0,sie,65,
gdc,ndtw.0,im-Gebysche,50,
gdc,ndtw.0,im-Flœten+eine,67,"32,33"
gdc,ndtw.0,fynf-grosse-Schiffe+dies-Gewimmel,70,"38,64"
gdc,ndtw.0,unserm-Geheimniss,20,
gdc,ndtw.0,bedienter,7,
gdc,ndtw.0,officier,9,
gdc,ndtw.0,arates,6,
gdc,ndtw.0,gelehrter,11,
gdc,ndtw.0,zweyte_aufwærterin,13,
gdc,ndtw.0,milon,4,
gdc,ndtw.0,erste_aufwærterin,12,
gdc,ndtw.0,chloe,0,
gdc,ndtw.0,alcimna,3,
gdc,ndtw.0,junger_herr,8,
gdc,ndtw.0,der_andre,10,
gdc,ndtw.0,evander,2,
gdc,ndtw.0,lamon,1,
gdc,ndtw.0,pyrhus,5,
