corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,nks0.0,32545,33166,arsene,32587,32590,ich,arsene
gdc,nks0.0,32545,33166,arsene,32591,32595,mich,arsene
gdc,nks0.0,32545,33166,arsene,32626,32629,mir,arsene
gdc,nks0.0,32545,33166,arsene,32674,32677,ich,arsene
gdc,nks0.0,32545,33166,arsene,32754,32757,Ich,arsene
gdc,nks0.0,32545,33166,arsene,32774,32778,mein,arsene
gdc,nks0.0,32545,33166,arsene,32822,32825,ich,arsene
gdc,nks0.0,32545,33166,arsene,32826,32830,mich,arsene
gdc,nks0.0,32545,33166,arsene,32870,32874,mich,arsene
gdc,nks0.0,32545,33166,arsene,32892,32896,Mein,arsene
gdc,nks0.0,32545,33166,arsene,33110,33114,mich,arsene
gdc,nks0.0,32545,33166,arsene,33128,33131,ich,arsene
gdc,nks0.0,33655,34607,arsene,33664,33667,Ich,arsene
gdc,nks0.0,33655,34607,arsene,33682,33686,mich,arsene
gdc,nks0.0,33655,34607,arsene,33719,33724,meine,arsene
gdc,nks0.0,33655,34607,arsene,33769,33773,Mein,arsene
gdc,nks0.0,33655,34607,arsene,33823,33826,mir,arsene
gdc,nks0.0,33655,34607,arsene,33887,33891,mich,arsene
gdc,nks0.0,33655,34607,arsene,34303,34306,ich,arsene
gdc,nks0.0,33655,34607,arsene,34348,34351,ich,arsene
gdc,nks0.0,33655,34607,arsene,34363,34367,mein,arsene
gdc,nks0.0,33655,34607,arsene,34395,34398,Ich,arsene
gdc,nks0.0,33655,34607,arsene,34429,34433,mein,arsene
gdc,nks0.0,34834,35469,arsene,34858,34861,ich,arsene
gdc,nks0.0,34834,35469,arsene,34918,34922,mich,arsene
gdc,nks0.0,34834,35469,arsene,34942,34946,Mich,arsene
gdc,nks0.0,34834,35469,arsene,35099,35102,ich,arsene
gdc,nks0.0,34834,35469,arsene,35117,35121,mein,arsene
gdc,nks0.0,34834,35469,arsene,35224,35230,meiner,arsene
gdc,nks0.0,34834,35469,arsene,35267,35271,mein,arsene
gdc,nks0.0,34834,35469,arsene,35424,35428,mein,arsene
gdc,nks0.0,34834,35469,arsene,35454,35458,mein,arsene
gdc,nks0.0,35635,36442,arsene,35644,35647,Ich,arsene
gdc,nks0.0,36538,37128,cato,36545,36548,Ich,cato
gdc,nks0.0,36538,37128,cato,36602,36605,ich,cato
gdc,nks0.0,36538,37128,cato,36766,36769,mir,cato
gdc,nks0.0,37134,37352,arsene,37224,37227,mir,arsene
gdc,nks0.0,37134,37352,arsene,37273,37276,ich,arsene
gdc,nks0.0,37134,37352,arsene,37314,37317,mir,arsene
gdc,nks0.0,37383,37997,arsene,37638,37642,Mein,arsene
gdc,nks0.0,37383,37997,arsene,37660,37663,mir,arsene
gdc,nks0.0,37383,37997,arsene,37719,37725,meines,arsene
gdc,nks0.0,37383,37997,arsene,37746,37749,ich,arsene
gdc,nks0.0,38003,38114,cato,38033,38036,ich,cato
gdc,nks0.0,38003,38114,cato,38070,38074,mich,cato
gdc,nks0.0,38121,39285,arsene,38302,38305,mir,arsene
gdc,nks0.0,38121,39285,arsene,38516,38519,mir,arsene
gdc,nks0.0,38121,39285,arsene,38613,38616,mir,arsene
