corpus,drama,figure_surface,figure_id,Gender,Age
gdc-coref,th0n.0,ERSTE REVOLUTIONÄRIN,die_stimme_der_ersten_revolutionärin,,
gdc-coref,th0n.0,ZWEITER ALTER GEFANGENER,zweiter_alter_gefangener,,
gdc-coref,th0n.0,DIE STIMME DER ZWEITEN REVOLUTIONÄRIN,zweite_revolutionärin,,
gdc-coref,th0n.0,EIN HERR,ein_herr,,
gdc-coref,th0n.0,SOLDATEN,soldaten,,
gdc-coref,th0n.0,DAS KIND,das_kind,,
gdc-coref,th0n.0,ERSTER ALTER GEFANGENER,erster_alter_gefangener,,
gdc-coref,th0n.0,ALLE BRÜDER,alle_brüder,,
gdc-coref,th0n.0,DIE EINE GRUPPE DES VOLKES,stimmen_aus_der_ersten_gruppe,,
gdc-coref,th0n.0,ANNA,anna,,
gdc-coref,th0n.0,MATROSEN,matrosen,,
gdc-coref,th0n.0,EIN JUNGE AUS DEM VOLK,ein_junge_aus_dem_volk,,
gdc-coref,th0n.0,STIMMEN AUS DER ANDERN GRUPPE DES VOLKES,die_andere_gruppe_des_volkes,,
gdc-coref,th0n.0,ZWEITER GEFANGENER,zweiter_gefangener,,
gdc-coref,th0n.0,STIMME DES NAUKE,nauke,,
gdc-coref,th0n.0,OFFIZIER,offizier,,
gdc-coref,th0n.0,DIE ANDEREN BÜRGER,die_anderen_bürger,,
gdc-coref,th0n.0,DER MANN,der_mann,,
gdc-coref,th0n.0,DIE FFRAU,die_ffrau,,
gdc-coref,th0n.0,KLOTZ,klotz,,
gdc-coref,th0n.0,EIN SOLDAT,ein_soldat,,
gdc-coref,th0n.0,DER ALTE MANN,ein_alter_mann,,
gdc-coref,th0n.0,DAS VOLK,das_volk,,
gdc-coref,th0n.0,GOUVERNEUR,der_gouverneur,,
gdc-coref,th0n.0,DER GREIS,der_greis,,
gdc-coref,th0n.0,DER ERSTE GEFANGENER,der_erste_gefangener,,
gdc-coref,th0n.0,DIE MEUTERER,eine_stimme_der_gefangenen,,
gdc-coref,th0n.0,DER KRANKE,kranker,,
gdc-coref,th0n.0,FÜHRER DER BÜRGER,führer_der_bürger,,
gdc-coref,th0n.0,DRITTE REVOLUTIONÄRIN,dritte_revolutionärin,,
gdc-coref,th0n.0,DER JUNGE,der_junge_aus_der_menge,,
gdc-coref,th0n.0,DER SCHIFFSGEPANGENE,der_schiffsgefangene,,
gdc-coref,th0n.0,ERSTER WÄCHTER,erster_wächter,,
gdc-coref,th0n.0,DER JUNGE MENSCH,der_junge_mensch,,
gdc-coref,th0n.0,DER KRÜPPEL,der_krüppel,,
gdc-coref,th0n.0,DER BUCKLIGE,der_bucklige,,
gdc-coref,th0n.0,KAPITÄN,kapitän,,
gdc-coref,th0n.0,DER OFFIZIER,der_offizier,,
gdc-coref,th0n.0,ZWEITER WÄCHTER,zweiter_wächter,,
