corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Der,ART,der,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Not,NN,not,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,gehorchend,ADJD,gehorchend,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,",","$,",--,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,nicht,PTKNEG,nicht,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,dem,ART,der,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,eignen,ADJA,eignen,24831,isabella,(0)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Trieb,NN,trieb,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,",","$,",--,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Tret,NN,tret,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,ich,PPER,ich,24831,isabella,(0)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,",","$,",--,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,ihr,PPER,ihr,24831,,(21
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,greisen,VVFIN,greis,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Häupter,NN,häupter,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,dieser,PDAT,dieser,24831,,(18
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Stadt,NN,stadt,24831,,21)|18)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,",","$,",--,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Heraus,NN,heraus,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,zu,APPR,zu,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,euch,PPER,euch,24831,,(21)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,aus,APPR,aus,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,den,ART,der,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,verschwiegenen,ADJA,verschwiegen,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Gemächern,NN,gemächer,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,meines,PPOSAT,mein,24831,isabella,(0)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Frauensaals,NN,frauensaal,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,",","$,",--,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,das,ART,der,24831,,(24
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Antlitz,NE,antlitz,24831,,24)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Vor,APPR,vor,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,euren,PPOSAT,euren,24831,,(21)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Männerblicken,NN,männerblick,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,zu,PTKZU,zu,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,entschleiern,VVINF,entschleiern,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,.,$.,--,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Denn,KON,denn,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,es,PPER,es,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,geziemt,VVFIN,ziemen,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,der,ART,der,24831,isabella,(0
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Witwe,NN,witwe,24831,isabella,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,",","$,",--,24831,isabella,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,die,PRELS,der,24831,isabella,(0)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,den,ART,der,24831,isabella,(25
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Gatten,NN,gatte,24831,isabella,0)|25)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Verloren,NN,verlor,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,",","$,",--,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,ihres,PPOSAT,ihr,24831,isabella,(26|(0)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Lebens,NN,leben,24831,,26)
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,Licht,NN,licht,24831,,
gdc-coref,v0d8.0,21240,25447,Isabella,isabella,und,KON,und,24831,,
